timestamp,open,high,low,close,volume
2024-01-14,0.54910000,0.55020000,0.52330000,0.52510000,74139564.70000000
2024-01-15,0.52510000,0.54160000,0.52170000,0.52760000,63585526.00000000
2024-01-16,0.52760000,0.54820000,0.52500000,0.53560000,74354014.50000000
2024-01-17,0.53560000,0.53950000,0.52130000,0.52820000,63933793.00000000
2024-01-18,0.52820000,0.52830000,0.49550000,0.50260000,92941269.50000000
2024-01-19,0.50270000,0.50540000,0.47130000,0.50440000,119926942.00000000
2024-01-20,0.50430000,0.51790000,0.49860000,0.51600000,79444228.60000000
2024-01-21,0.51590000,0.52050000,0.50240000,0.50320000,54007901.70000000
2024-01-22,0.50310000,0.50630000,0.47670000,0.47860000,143854450.00000000
2024-01-23,0.47870000,0.48630000,0.44770000,0.47730000,179364936.70000000
2024-01-24,0.47730000,0.48050000,0.46430000,0.47650000,94074417.50000000
2024-01-25,0.47660000,0.48410000,0.45850000,0.46660000,85672497.70000000
2024-01-26,0.46670000,0.49040000,0.46300000,0.48490000,106524727.90000000
2024-01-27,0.48500000,0.49000000,0.47540000,0.48620000,55368149.50000000
2024-01-28,0.48620000,0.50060000,0.48340000,0.49030000,97129557.50000000
2024-01-29,0.49030000,0.52820000,0.48360000,0.52600000,121001422.10000000
2024-01-30,0.52610000,0.53670000,0.51220000,0.51360000,131938020.80000000
2024-01-31,0.51370000,0.52030000,0.49320000,0.49760000,132999623.50000000
2024-02-01,0.49760000,0.50840000,0.48580000,0.50780000,97823370.70000000
2024-02-02,0.50770000,0.52440000,0.50410000,0.51460000,109308591.40000000
2024-02-03,0.51470000,0.52570000,0.51170000,0.51240000,62959942.60000000
2024-02-04,0.51250000,0.51260000,0.49320000,0.49340000,57766921.80000000
2024-02-05,0.49330000,0.50620000,0.48720000,0.49440000,74074301.10000000
2024-02-06,0.49440000,0.50420000,0.48870000,0.49830000,74173617.70000000
2024-02-07,0.49820000,0.50250000,0.47270000,0.50220000,180295685.60000000
2024-02-08,0.50230000,0.53610000,0.50200000,0.53040000,228609030.60000000
2024-02-09,0.53040000,0.54850000,0.52780000,0.54070000,154515283.00000000
2024-02-10,0.54070000,0.55810000,0.52800000,0.55150000,115859589.70000000
2024-02-11,0.55150000,0.56540000,0.53530000,0.54140000,159388533.10000000
2024-02-12,0.54150000,0.56580000,0.53060000,0.55920000,156086926.20000000
2024-02-13,0.55910000,0.56450000,0.53380000,0.54490000,128760890.40000000
